-,-,-
1.996,-3.051,1.817
2.025,-3.077,1.808
2.004,-3.069,1.796
2.033,-3.099,1.771
1.973,-3.083,1.894
1.979,-3.073,1.858
2.033,-3.087,1.788
2.054,-3.063,1.774
2.038,-3.082,1.727
1.905,-3.090,1.980
1.978,-3.085,1.898
1.921,-3.090,1.658
1.971,-3.074,1.798
1.887,-3.082,2.104
1.936,-3.097,1.817
1.812,-3.105,1.980
1.825,-3.168,1.985
1.777,-3.260,1.901
1.900,-3.075,2.057
1.689,-3.093,2.200
1.527,-3.186,2.128
1.560,-3.310,1.795
1.327,-3.202,1.755
1.276,-3.545,1.741
1.402,-3.479,1.715
1.354,-3.373,1.621
1.229,-3.520,1.604
1.265,-3.591,1.503
1.165,-3.553,1.660
1.332,-3.550,1.385
1.322,-3.501,1.469
1.444,-3.372,1.897
1.546,-3.288,1.795
1.495,-3.297,1.818
1.745,-3.224,1.812
1.728,-3.236,1.759
1.787,-3.229,1.527
1.640,-3.346,1.646
1.379,-3.483,1.857
1.116,-3.481,2.007
1.100,-3.699,1.504
1.294,-3.654,0.870
1.336,-3.662,0.774
1.392,-3.687,0.672
1.223,-3.718,1.309
1.332,-3.806,0.618
1.705,-3.516,0.858
0.771,-3.884,1.250
0.968,-3.598,1.533
1.747,-3.270,1.987
1.700,-3.408,1.541
1.643,-3.491,1.204
1.722,-3.454,1.250
1.639,-3.521,1.168
1.501,-3.525,1.336
1.496,-3.552,1.186
1.655,-3.497,1.215
1.672,-3.500,1.271
1.601,-3.523,1.223
1.571,-3.521,1.274
1.698,-3.476,1.098
1.656,-3.480,1.235
1.646,-3.484,1.287
1.644,-3.495,1.188
1.548,-3.526,1.339
1.674,-3.520,1.116
1.659,-3.481,1.264
1.630,-3.506,1.293
1.591,-3.515,1.238
1.659,-3.505,1.208
1.603,-3.518,1.184
1.576,-3.509,1.281
1.627,-3.500,1.207
-,-,-
2.807,-2.734,1.034
2.935,-2.757,0.998
2.906,-2.853,0.990
