-,-,-
2.176,-2.596,2.340
2.254,-2.591,2.290
2.208,-2.540,2.342
2.156,-2.587,2.447
2.180,-2.588,2.386
2.281,-2.606,2.254
2.233,-2.604,2.353
2.097,-2.612,2.458
2.233,-2.589,2.330
2.282,-2.615,2.197
2.241,-2.586,2.316
2.248,-2.605,2.349
2.313,-2.508,2.235
2.263,-2.591,2.314
2.269,-2.612,2.249
2.283,-2.573,2.289
2.230,-2.686,2.293
2.299,-2.655,2.169
2.334,-2.593,2.230
2.227,-2.688,2.293
2.317,-2.632,2.251
2.269,-2.515,2.363
2.310,-2.624,2.317
2.135,-2.778,2.174
2.164,-2.679,2.223
2.017,-2.758,2.430
1.965,-2.745,2.507
2.128,-2.711,2.159
1.973,-2.810,2.432
1.922,-2.917,2.216
1.888,-2.934,2.305
1.671,-3.033,2.252
1.835,-2.998,2.153
1.640,-3.143,2.239
1.637,-3.103,2.021
1.444,-3.260,2.075
1.593,-3.082,2.030
1.507,-3.068,1.957
1.429,-3.203,2.045
1.295,-3.499,2.025
1.084,-3.317,2.060
1.307,-3.357,1.881
1.283,-3.258,1.943
1.430,-3.032,2.015
0.985,-4.165,2.150
1.133,-3.325,1.911
1.625,-2.699,1.930
1.145,-3.407,2.195
1.562,-3.321,2.002
1.660,-3.123,1.789
1.306,-3.335,2.146
1.730,-2.997,2.212
2.006,-2.982,1.908
1.823,-3.080,1.999
1.978,-2.984,2.086
2.255,-2.915,1.928
2.130,-2.880,2.026
2.239,-2.786,2.051
2.377,-2.796,1.958
2.461,-2.679,1.894
2.540,-2.673,1.890
2.536,-2.638,1.872
2.752,-2.612,1.694
2.665,-2.588,1.780
2.710,-2.599,1.772
2.657,-2.568,1.773
2.630,-2.491,1.926
2.696,-2.619,1.849
2.774,-2.522,1.799
2.677,-2.564,1.773
2.563,-2.562,2.006
2.782,-2.490,1.786
2.772,-2.530,1.756
2.552,-2.575,1.925
2.782,-2.511,1.707
2.749,-2.527,1.728
2.698,-2.537,1.817
2.679,-2.523,1.846
2.726,-2.505,1.808
2.630,-2.527,1.899
2.654,-2.535,1.896
2.649,-2.563,1.848
2.669,-2.546,1.901
2.662,-2.544,1.854
2.631,-2.555,1.874
2.633,-2.548,1.908
2.688,-2.559,1.807
2.736,-2.508,1.812
2.642,-2.526,1.935
2.632,-2.567,1.904
2.688,-2.534,1.813
2.712,-2.545,1.799
2.627,-2.541,1.939
2.705,-2.508,1.889
2.699,-2.506,1.792
2.629,-2.545,1.913
2.680,-2.509,1.865
2.630,-2.550,1.922
2.667,-2.555,1.885
2.654,-2.552,1.889
2.665,-2.526,1.861
-,-,-
2.031,-2.230,2.904
2.027,-2.205,2.896
2.020,-2.202,2.887
2.016,-2.231,2.855
2.024,-2.233,2.863
2.052,-2.249,2.851
2.063,-2.252,2.837
2.057,-2.197,2.819
2.013,-2.231,2.888
2.063,-2.254,2.844
2.021,-2.284,2.832
2.036,-2.288,2.824
2.069,-2.222,2.801
2.040,-2.275,2.851
2.048,-2.228,2.859
2.064,-2.293,2.813
2.062,-2.187,2.787
2.076,-2.185,2.835
2.063,-2.191,2.854
2.029,-2.172,2.883
2.024,-2.169,2.831
2.046,-2.310,2.883
2.095,-2.234,2.757
2.270,-2.535,2.631
2.048,-2.368,2.753
2.051,-2.374,2.768
2.046,-2.325,2.775
2.049,-2.347,2.747
2.128,-2.349,2.692
2.053,-2.325,2.826
2.117,-2.323,2.779
1.994,-2.396,2.729
2.108,-2.408,2.701
2.013,-2.374,2.715
1.903,-2.267,2.961
1.826,-2.271,2.903
1.781,-2.403,3.007
1.854,-2.508,2.862
1.812,-2.336,2.840
1.781,-2.538,2.770
1.607,-2.522,2.879
1.678,-2.486,2.886
1.646,-2.425,2.879
1.726,-2.518,2.770
1.542,-2.474,2.923
1.552,-2.538,2.823
1.420,-2.592,2.818
1.337,-2.759,2.967
1.434,-2.628,2.783
1.322,-2.667,2.891
1.330,-2.778,2.773
1.321,-2.790,2.721
1.326,-2.763,2.670
1.239,-2.785,2.819
1.282,-2.771,2.722
1.270,-2.545,2.850
1.105,-2.929,2.744
1.195,-2.726,2.834
1.301,-2.339,2.797
1.145,-3.318,2.848
1.470,-2.472,2.622
1.377,-2.885,2.732
1.554,-2.605,2.818
1.598,-2.557,2.765
1.650,-2.607,2.848
1.804,-2.539,2.653
1.788,-2.604,2.743
2.016,-2.589,2.575
2.060,-2.533,2.586
2.184,-2.439,2.591
2.146,-2.337,2.620
2.213,-2.375,2.595
2.193,-2.357,2.626
2.217,-2.341,2.633
2.288,-2.369,2.564
2.250,-2.344,2.627
2.294,-2.313,2.579
2.419,-2.271,2.459
2.395,-2.258,2.516
2.286,-2.262,2.633
2.284,-2.299,2.591
2.359,-2.308,2.512
2.315,-2.313,2.554
2.324,-2.265,2.589
2.355,-2.280,2.606
2.341,-2.265,2.580
2.354,-2.282,2.522
2.315,-2.288,2.589
2.369,-2.281,2.563
2.351,-2.271,2.555
2.347,-2.293,2.551
2.374,-2.282,2.517
2.350,-2.274,2.576
2.403,-2.287,2.535
2.383,-2.260,2.504
2.377,-2.261,2.565
2.376,-2.278,2.552
2.390,-2.275,2.506
2.344,-2.294,2.599
2.349,-2.283,2.563
2.332,-2.254,2.570
2.352,-2.290,2.557
2.357,-2.269,2.571
2.411,-2.243,2.523
-,-,-
2.352,-2.720,2.087
2.426,-2.778,1.956
2.306,-2.820,2.032
2.313,-2.741,2.158
2.220,-2.335,2.415
2.037,-2.276,2.728
2.152,-2.204,2.702
2.065,-2.375,2.550
2.383,-2.544,2.443
2.395,-2.614,2.187
2.560,-2.716,2.031
2.431,-2.537,2.071
2.401,-2.473,2.298
2.219,-2.506,2.371
2.394,-2.606,2.296
2.375,-2.780,2.184
2.404,-2.667,2.030
2.382,-2.664,2.130
2.392,-2.672,2.119
2.029,-2.748,2.358
2.105,-2.736,2.319
2.311,-2.743,2.033
2.410,-2.785,1.893
2.087,-2.850,2.116
1.783,-2.878,2.273
2.038,-2.854,2.204
1.735,-2.897,2.188
1.776,-3.185,2.016
1.756,-3.026,1.922
1.742,-3.144,1.949
1.655,-3.154,2.057
1.598,-3.130,2.086
1.517,-3.141,1.973
1.350,-3.608,1.682
1.261,-3.040,1.945
1.236,-3.436,1.837
1.316,-3.297,1.882
1.156,-3.510,1.651
1.292,-3.613,1.735
1.315,-3.159,1.798
0.721,-3.821,1.898
1.163,-3.228,1.795
1.053,-3.594,1.898
1.202,-3.481,1.790
1.244,-3.264,1.959
1.322,-3.369,1.862
1.378,-3.646,1.588
1.387,-3.455,1.737
1.508,-3.271,1.939
1.454,-3.280,1.931
1.582,-3.165,2.005
1.762,-3.155,1.913
1.891,-3.037,2.019
1.876,-3.094,1.972
1.808,-3.015,2.030
1.964,-2.938,2.162
2.177,-2.912,1.913
1.951,-3.013,2.042
2.397,-2.762,1.910
2.259,-2.820,1.937
2.546,-2.711,1.910
2.418,-2.693,1.964
2.515,-2.719,1.845
2.461,-2.674,1.956
2.570,-2.674,1.833
2.584,-2.685,1.805
