-,-,-
2.000,-2.870,2.142
1.991,-2.858,2.199
2.006,-2.844,2.188
2.009,-2.858,2.208
1.894,-2.875,2.208
1.984,-2.841,2.218
1.991,-2.846,2.236
2.021,-2.815,2.200
1.966,-2.850,2.211
1.931,-2.864,2.275
1.984,-2.842,2.236
1.931,-2.831,2.259
1.989,-2.829,2.255
1.922,-2.850,2.288
2.033,-2.816,2.162
1.890,-2.887,2.290
1.866,-2.894,2.293
1.801,-2.911,2.305
1.896,-2.895,2.206
1.885,-2.880,2.222
1.945,-2.891,2.240
1.953,-2.913,2.126
2.015,-2.908,2.117
1.967,-2.881,2.112
1.882,-2.965,2.172
1.820,-2.953,2.213
1.693,-3.014,2.262
1.735,-2.984,2.258
1.757,-3.019,2.202
1.775,-2.903,2.088
1.401,-3.229,2.391
1.604,-3.155,1.922
1.718,-3.095,2.061
1.698,-3.143,1.999
1.680,-3.125,2.031
1.774,-3.088,2.025
1.692,-3.026,1.994
1.664,-3.187,1.975
1.827,-3.150,2.029
1.713,-3.170,1.910
1.755,-3.123,1.947
1.563,-3.206,2.108
1.687,-3.145,2.012
1.704,-3.171,1.790
1.722,-3.198,2.062
1.724,-3.229,2.007
1.543,-3.360,1.994
1.660,-3.208,1.902
1.415,-3.388,2.020
1.474,-3.284,1.698
1.478,-3.384,1.545
1.220,-3.487,1.711
1.341,-3.419,1.396
1.147,-3.639,1.211
1.059,-3.678,1.347
1.065,-3.685,1.323
1.151,-3.678,1.182
1.034,-3.738,1.261
0.957,-3.771,1.018
0.969,-3.753,0.891
1.069,-3.778,0.785
1.001,-3.794,0.929
0.976,-3.744,1.078
0.961,-3.800,0.867
0.847,-3.836,0.875
0.969,-3.776,0.883
0.902,-3.831,0.935
0.981,-3.802,0.876
1.058,-3.769,0.734
0.917,-3.821,0.856
0.899,-3.811,0.913
0.983,-3.795,0.888
0.974,-3.793,0.854
0.931,-3.792,0.877
0.839,-3.810,0.888
0.887,-3.840,0.917
0.902,-3.818,0.858
0.899,-3.804,0.870
0.900,-3.823,0.856
0.975,-3.791,0.878
0.902,-3.813,0.884
0.905,-3.824,0.860
0.855,-3.833,0.885
0.859,-3.816,0.907
0.871,-3.810,0.874
-,-,-
1.808,-2.788,2.433
1.771,-2.784,2.513
1.777,-2.744,2.489
1.812,-2.763,2.450
1.719,-2.775,2.593
1.759,-2.734,2.537
1.812,-2.751,2.530
1.932,-2.712,2.474
1.989,-2.668,2.384
1.874,-2.724,2.489
1.867,-2.740,2.436
1.886,-2.715,2.437
1.941,-2.705,2.442
1.854,-2.766,2.455
1.791,-2.760,2.470
1.805,-2.780,2.458
1.682,-2.825,2.485
1.562,-2.897,2.438
1.686,-2.845,2.396
1.541,-2.884,2.408
1.424,-2.870,2.562
1.445,-2.941,2.535
1.515,-2.991,2.529
1.776,-2.862,2.234
1.693,-2.928,2.421
1.532,-2.915,2.445
1.462,-2.938,2.416
1.333,-3.087,2.455
1.372,-3.130,2.357
1.407,-3.080,2.285
1.341,-3.108,2.328
1.541,-3.090,2.175
1.448,-3.059,2.252
1.372,-3.093,2.294
1.171,-3.130,2.422
1.488,-3.219,2.255
1.392,-3.201,2.125
1.330,-3.236,2.157
1.208,-3.218,2.255
1.169,-3.247,2.196
1.109,-3.234,2.168
1.014,-3.354,2.148
1.144,-3.313,2.025
1.236,-3.305,1.960
1.093,-3.439,2.016
1.159,-3.335,2.028
1.087,-3.430,1.990
1.039,-3.387,1.983
0.977,-3.416,1.986
0.964,-3.497,1.821
1.028,-3.501,1.791
0.999,-3.447,1.711
0.891,-3.535,1.935
0.954,-3.452,1.857
0.980,-3.512,1.720
0.916,-3.504,1.798
1.050,-3.480,1.754
0.952,-3.545,1.709
0.833,-3.561,1.716
0.765,-3.620,1.716
0.897,-3.563,1.720
1.008,-3.521,1.771
1.023,-3.485,1.808
1.007,-3.529,1.711
1.000,-3.530,1.761
0.937,-3.531,1.754
0.962,-3.516,1.740
0.935,-3.521,1.777
0.937,-3.535,1.748
0.890,-3.548,1.838
0.925,-3.517,1.791
1.032,-3.520,1.661
0.955,-3.518,1.726
0.936,-3.535,1.791
0.982,-3.507,1.761
0.970,-3.521,1.713
1.001,-3.502,1.754
-,-,-
1.755,-3.016,2.291
1.897,-2.979,2.033
1.866,-2.970,2.079
1.744,-3.024,2.216
1.730,-2.986,2.210
1.797,-2.964,2.201
1.829,-2.971,2.183
1.721,-2.999,2.136
1.760,-2.991,2.230
1.701,-3.004,2.197
1.751,-3.017,2.211
1.797,-2.965,2.220
1.700,-3.066,2.190
1.816,-3.036,2.198
1.526,-3.102,2.231
1.349,-3.081,2.253
1.441,-3.177,2.081
1.479,-3.161,2.192
1.676,-3.128,2.107
1.592,-3.182,2.044
1.539,-3.190,2.018
1.391,-3.177,2.098
